txn_id,user_id,timestamp,amount,channel,merchant,merchant_risk,device_id,location,ip_address,recipient_known,account_age_days,is_fraud,fraud_type,user_avg_amount,amount_deviation,hour,is_odd_hour,velocity_score,shared_device
TXN_0010983,USER_0046,2026-01-13 01:43:59.281637,5701.31,WALLET,IRCTC,0.121,4a82143c,Lucknow,1.53.70.11,1,303,1,geo_anomaly,2859.6295202127662,0.9933759194290483,1,1,0.1,1
TXN_0029886,USER_0025,2026-01-13 03:15:27.281637,14702.74,WALLET,Amazon,0.992,c454ea29,Lucknow,148.94.167.81,0,1247,1,card_fraud,3241.7891588785046,3.5342880093645013,3,1,0.1,0
TXN_0027616,USER_0267,2026-01-13 08:29:23.281637,215.59,UPI,Flipkart,0.099,e54db0f2,Delhi,184.249.107.70,1,1341,0,none,779.3475862068965,-0.7224441981645667,8,0,0.1,1
TXN_0022459,USER_0033,2026-01-13 08:33:19.281637,2081.88,WALLET,Amazon,0.096,f7a17d19,Hyderabad,91.63.5.217,1,541,0,none,2115.73593220339,-0.015994405201100296,8,0,0.1,1
TXN_0025476,USER_0273,2026-01-13 08:52:40.281637,2654.28,CARD,BigBasket,0.146,4a751d3e,Mumbai,184.77.129.117,1,35,0,none,2217.1017570000004,0.19709566597669836,8,0,0.1,1
TXN_0005429,USER_0490,2026-01-13 08:54:48.281637,1045.68,WALLET,Swiggy,0.076,1e59eb5f,Ahmedabad,27.24.182.37,1,1246,0,none,2421.6557894736843,-0.5679617366413457,8,0,0.1,1
TXN_0031093,USER_0248,2026-01-13 08:55:25.281637,3382.16,WALLET,Uber,0.084,0397ac5a,Ahmedabad,161.225.207.179,1,1586,0,none,2195.597815533981,0.5401818102862732,8,0,0.1,1
TXN_0039494,USER_0098,2026-01-13 09:07:54.281637,1801.58,NEFT,Flipkart,0.009,3d6a331d,Delhi,182.20.192.217,1,1298,0,none,1612.6558510638297,0.11707834034848189,9,0,0.1,1
TXN_0028838,USER_0070,2026-01-13 09:08:08.281637,500.69,CARD,BigBasket,0.055,351a7588,Pune,196.129.74.100,1,655,0,none,699.3141052631579,-0.283621454673572,9,0,0.1,1
TXN_0044397,USER_0255,2026-01-13 09:12:21.281637,2078.6,UPI,BookMyShow,0.021,7ba0ab3c,Hyderabad,12.209.189.3,1,1150,0,none,3157.3642222222225,-0.3415578908322375,9,0,0.1,1
TXN_0001820,USER_0254,2026-01-13 09:25:36.281637,2035.45,WALLET,Swiggy,0.112,53b9a42f,Chennai,31.60.140.40,1,1330,0,none,2374.1388636363636,-0.14259749980168618,9,0,0.1,1
TXN_0042925,USER_0012,2026-01-13 09:34:03.281637,2580.25,WALLET,Amazon,0.095,4f736e61,Chennai,160.235.14.110,1,641,0,none,1945.1859183673473,0.32631213474476634,9,0,0.1,1
TXN_0037207,USER_0045,2026-01-13 09:34:09.281637,1670.34,IMPS,Amazon,0.08,336fdac5,Delhi,188.123.79.67,1,1567,0,none,1497.1651162790695,0.11559132023514052,9,0,0.1,1
TXN_0027918,USER_0405,2026-01-13 09:37:48.281637,2091.1,NEFT,BigBasket,0.056,76fba1f1,Delhi,139.156.67.170,1,1364,0,none,1990.6369306930694,0.05044246155446132,9,0,0.1,1
TXN_0014350,USER_0201,2026-01-13 09:41:26.281637,4557.6,CARD,Flipkart,0.007,3d510e7d,Pune,204.148.220.37,1,1246,0,none,3881.1199542168674,0.17425531765146035,9,0,0.1,1
TXN_0021888,USER_0068,2026-01-13 09:50:50.281637,599.2,CARD,Zomato,0.139,e6d731e6,Ahmedabad,218.169.103.37,1,263,0,none,1169.2379591836736,-0.48711286000440174,9,0,0.1,1
TXN_0001723,USER_0107,2026-01-13 10:10:47.281637,2093.96,UPI,BookMyShow,0.109,360d8883,Hyderabad,165.93.58.165,1,1010,0,none,2036.7132692307691,0.02809361436353672,10,0,0.1,1
TXN_0026569,USER_0290,2026-01-13 10:22:19.281637,404.02,WALLET,IRCTC,0.028,74b8e635,Kolkata,108.4.65.191,1,1188,0,none,600.7605504587156,-0.3269415888242298,10,0,0.1,1
TXN_0009577,USER_0214,2026-01-13 10:29:29.281637,3458.87,IMPS,Flipkart,0.129,9a9fc81d,Bangalore,195.195.187.221,1,794,0,none,2687.917454545454,0.28671484286410387,10,0,0.1,1
TXN_0042150,USER_0381,2026-01-13 10:38:01.281637,816.14,WALLET,BookMyShow,0.001,986d14ec,Bangalore,179.148.201.153,1,875,0,none,775.1790357142856,0.05277257230739252,10,0,0.1,1
TXN_0035219,USER_0475,2026-01-13 10:40:22.281637,148.63,UPI,Swiggy,0.105,f77e0ab9,Chennai,16.221.236.201,1,463,0,none,249.8807070707071,-0.40358108143473564,10,0,0.1,1
TXN_0035195,USER_0436,2026-01-13 10:42:12.281637,797.65,CARD,BigBasket,0.129,34b62def,Bangalore,110.73.128.208,1,587,0,none,2572.1924418604654,-0.6896267892724878,10,0,0.1,1
TXN_0019352,USER_0239,2026-01-13 10:59:32.281637,1296.63,UPI,IRCTC,0.115,3f9a621f,Delhi,177.233.145.17,1,504,0,none,2336.5474336283187,-0.444875435966734,10,0,0.1,1
TXN_0035740,USER_0166,2026-01-13 11:12:09.281637,1149.46,WALLET,BigBasket,0.079,f0e267a3,Kolkata,123.173.194.79,1,1084,0,none,1650.3696039603956,-0.303329795316015,11,0,0.1,1
TXN_0006342,USER_0076,2026-01-13 11:14:41.281637,2831.34,UPI,IRCTC,0.127,0348a2f9,Mumbai,34.40.200.243,1,599,0,none,3625.471875,-0.21898194784703798,11,0,0.1,1
TXN_0005155,USER_0269,2026-01-13 11:18:38.281637,1063.84,CARD,Uber,0.062,e9a30624,Delhi,197.48.109.119,1,1283,0,none,1213.4697674418603,-0.12320583966205939,11,0,0.1,1
TXN_0025512,USER_0263,2026-01-13 11:25:43.281637,3024.14,WALLET,Swiggy,0.097,830ee6e8,Bangalore,85.53.107.68,1,538,0,none,2544.613839285714,0.1883734890633837,11,0,0.1,1
TXN_0002541,USER_0025,2026-01-13 11:26:58.281637,1561.81,WALLET,BookMyShow,0.059,3b612bf3,Delhi,76.200.6.33,1,1247,0,none,14702.74,-0.8937134361733817,11,0,0.2,1
TXN_0026533,USER_0323,2026-01-13 11:31:39.281637,230.56,IMPS,PhonePe,0.081,35a9d1f6,Chennai,93.2.81.0,1,868,0,none,650.2082465517241,-0.6444148224071857,11,0,0.1,1
TXN_0035401,USER_0407,2026-01-13 11:45:06.281637,2157.37,WALLET,Amazon,0.069,2514555e,Hyderabad,4.138.67.239,1,944,0,none,2043.1775,0.055862321153617965,11,0,0.1,1
TXN_0003378,USER_0221,2026-01-13 11:45:52.281637,3429.14,WALLET,BigBasket,0.041,87e6913c,Kolkata,15.215.237.174,1,1055,0,none,3583.6450909090913,-0.04310192138712061,11,0,0.1,1
TXN_0018409,USER_0244,2026-01-13 12:01:27.281637,549.19,WALLET,PhonePe,0.049,dcf17b3a,Chennai,168.219.21.4,1,1331,0,none,767.1508365591399,-0.28374744410287317,12,0,0.1,1
TXN_0000566,USER_0336,2026-01-13 12:19:28.281637,475.21,UPI,Uber,0.136,b8e7f8d4,Hyderabad,120.133.38.197,1,963,0,none,1353.7781382978724,-0.6484959518181296,12,0,0.1,1
TXN_0003912,USER_0111,2026-01-13 12:43:08.281637,3358.74,UPI,BigBasket,0.121,1b687070,Kolkata,124.144.22.134,1,1733,0,none,2861.2461653061227,0.17381238578431954,12,0,0.1,1
TXN_0042230,USER_0102,2026-01-13 12:50:52.281637,1038.0,IMPS,Flipkart,0.073,3c6633ae,Hyderabad,28.8.76.11,1,1387,0,none,2662.9175490196076,-0.6099729136202509,12,0,0.1,1
TXN_0002708,USER_0024,2026-01-13 13:02:51.281637,550.37,NEFT,Flipkart,0.059,7a02d37c,Ahmedabad,12.231.173.224,1,146,0,none,696.2570526315787,-0.20922994192883912,13,0,0.1,1
TXN_0049228,USER_0211,2026-01-13 13:03:37.281637,1036.74,CARD,Swiggy,0.077,db289e05,Hyderabad,92.104.47.225,1,342,0,none,1658.7389690721652,-0.3747571037751062,13,0,0.1,1
TXN_0001697,USER_0069,2026-01-13 13:29:40.281637,1008.06,WALLET,PhonePe,0.102,c21b1043,Delhi,62.218.80.38,1,204,0,none,1627.8089000000002,-0.3804920884211771,13,0,0.1,1
TXN_0008032,USER_0213,2026-01-13 13:31:26.281637,1185.22,NEFT,IRCTC,0.028,55cfedae,Hyderabad,95.135.109.110,1,874,0,none,997.4471264367813,0.18806491459726576,13,0,0.1,1
TXN_0011436,USER_0433,2026-01-13 13:39:36.281637,1905.52,NEFT,Uber,0.038,a581b5ed,Pune,9.46.246.250,1,240,0,none,2160.023723404255,-0.11776998125838994,13,0,0.1,1
TXN_0033971,USER_0206,2026-01-13 13:46:07.281637,700.37,IMPS,Uber,0.104,862eb8c7,Ahmedabad,8.239.88.233,1,304,0,none,1358.1521063157893,-0.48396504207230967,13,0,0.1,1
TXN_0049762,USER_0424,2026-01-13 14:07:10.281637,2593.68,UPI,PhonePe,0.031,396179d5,Chennai,220.66.135.200,1,1779,0,none,1587.9258715596332,0.6329773757495396,14,0,0.1,1
TXN_0018656,USER_0451,2026-01-13 14:13:45.281637,778.91,IMPS,Uber,0.1,d93ad1ce,Kolkata,54.220.94.91,1,1143,0,none,1701.5026881720432,-0.541903807014026,14,0,0.1,1
TXN_0028014,USER_0321,2026-01-13 14:17:42.281637,974.54,UPI,BigBasket,0.119,f7d8be63,Pune,3.132.75.23,1,1031,0,none,1600.3225479999996,-0.3907910675345089,14,0,0.1,1
TXN_0006413,USER_0131,2026-01-13 14:58:39.281637,2751.51,IMPS,IRCTC,0.094,1144a201,Mumbai,151.49.13.188,1,546,0,none,2954.0819469026546,-0.0685503652834327,14,0,0.1,1
TXN_0012661,USER_0221,2026-01-13 15:20:34.281637,2739.79,IMPS,Ola,0.015,87e6913c,Kolkata,15.215.237.174,1,1055,0,none,3429.14,-0.20096847358999922,15,0,0.2,1
TXN_0039152,USER_0089,2026-01-13 15:24:48.281637,1951.98,IMPS,Swiggy,0.148,a0017db1,Delhi,217.73.175.247,1,328,0,none,2064.743828,-0.05458751780910566,15,0,0.1,1
TXN_0047282,USER_0122,2026-01-13 15:42:18.281637,2087.64,IMPS,Uber,0.02,8ab63c80,Kolkata,120.236.137.242,1,381,0,none,2086.633786407767,0.0004819875970509485,15,0,0.1,1
TXN_0045649,USER_0255,2026-01-13 15:54:16.281637,3165.44,WALLET,Zomato,0.025,7ba0ab3c,Hyderabad,12.209.189.3,1,1150,0,none,2078.6,0.5226197345643394,15,0,0.2,1
